111;CASTANHA DO PARA 1Kg;0,2;18;25/10/2021;60;2;59
112;CHIMICHURRI SEM PIMENTA 1Kg;0,1;5,5;25/10/2021;55;2;60
113;CAPSULADO OMEGA 3 NATUCLIN 100cps 500g;2;76;25/10/2021;38;2;61
114;SEMENTE CHIA 1Kg;0,1;3,5;25/10/2021;35;2;62
115;CHA IBISCO 1Kg;0.1;3.9;25/10/2021;39;9;63
116;BANDEJA 30 OVOS BRANCO ;2;30;25/10/2021;15;2;64
117;BANDEJA 30 OVOS BRANCO ;3;45;25/10/2021;15;2;65
118;BANDEJA 30 OVOS BRANCO;2;30;25/10/2021;15;2;66
119;AMENDOAS INTEIRA 1Kg;0.120;9.50;25/10/2021;76;2;67
120;BANDEJA 30 OVOS BRANCO ;2;30;22/10/2021;15;2;68
121;ALBUMINA - NATUROVOS 500g;1;35;25/10/2021;35;2;68
122;CHOCOLATE EM PO 50 POR CENTO 1Kg;0.200;14;25/10/2021;70;2;69
123;AMAIXA SEM CAROÇO 1Kg;0.100;8;25/10/2021;80;2;70
124;GOJI BERRY FRUTA DESIDRATADA 1Kg;0.150;10;25/10/2021;67;2;71
125;LINHACA DOURADA GRAO 1Kg;0.100;6;25/10/2021;60;2;71
126;BANDEJA 30 OVOS BANCO;1;15;25/10/2021;15;2;72
127;CASTANHA DO PARA INTEIRA 1Kg;0.100;9;26/10/2021;90;2;73
128;AMENDOAS INTEIRA 1Kg;0.100;7.60;26/10/2021;76;2;73
129;BANDEJA 30 OVOS BANCO;2;30;26/10/2021;15;2;74
130;AMENDOIM TORRADO SEM SAL;0.200;6;26/10/2021;12;2;75
131;CHA CONCENTRADO GOTAS DE SAO JOAO;4;40;26/10/2021;10;2;76
132;VINAGRE DE MACA ORGANICO SAO FRANCISCO 500ml;1;20;26/10/2021;20;2;77
133;ORA PRO-NÓBIS UNILIFE 60 CÁPSULAS 500g;1;86;26/10/2021;86;2;78
134;CHA MELAO SÃO CAETANO 1Kg;0.100;7;26/10/2021;70;2;79
135;CHA HORTELA 1Kg;0.100;4;26/10/2021;40;2;80
136;BISCOITO DE POLVILHO PACOTE 400g;1;7;26/10/2021;7;2;81
137;OLEO ESSENCIAL MELALEUCA 10ml;1;25;26/10/2021;25;2;82
138;OLEO DE RICINO 30ml;1;13;26/10/2021;13;2;82
139;MEL DE ABELHA SIVESTRE 350g;1;10;26/10/2021;10;2;84
